# fetched=2026-07-09
Country,Continent,ISO_Code,Level,GDLCODE,Region,Year,msch
Indonesia,Asia/Pacific,IDN,Subnat,IDNr101,"DI Aceh",1991,3.958
Indonesia,Asia/Pacific,IDN,Subnat,IDNr101,"DI Aceh",1992,4.267
Indonesia,Asia/Pacific,IDN,Subnat,IDNr101,"DI Aceh",1993,4.576
Indonesia,Asia/Pacific,IDN,Subnat,IDNr101,"DI Aceh",1994,4.886
Indonesia,Asia/Pacific,IDN,Subnat,IDNr101,"DI Aceh",1995,5.195
Indonesia,Asia/Pacific,IDN,Subnat,IDNr101,"DI Aceh",1996,5.505
Indonesia,Asia/Pacific,IDN,Subnat,IDNr101,"DI Aceh",1997,5.814
Indonesia,Asia/Pacific,IDN,Subnat,IDNr101,"DI Aceh",1998,6.048
Indonesia,Asia/Pacific,IDN,Subnat,IDNr101,"DI Aceh",1999,6.278
Indonesia,Asia/Pacific,IDN,Subnat,IDNr101,"DI Aceh",2000,6.504
Indonesia,Asia/Pacific,IDN,Subnat,IDNr101,"DI Aceh",2001,6.728
Indonesia,Asia/Pacific,IDN,Subnat,IDNr101,"DI Aceh",2002,6.95
